"id","title","isbn","category_id","publisher_id","publish_year","image_url_s","image_url_m","image_url_l","created_at","updated_at","author_id"
17,More Cunning Than Man: A Social History of Rats and Man,"1575663937",4,17,1999,http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
18,Goodbye to the Buttermilk Sky,"1881320189",8,18,1994,http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
19,The Testament,"440234743",8,19,1999,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
20,Beloved (Plume Contemporary Fiction),"452264464",1,20,1994,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
21,Our Dumb Century: The Onion Presents 100 Years of Headlines from Americas Finest News Source,"609804618",8,21,1999,http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
22,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,"1841721522",8,22,2001,http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
23,If Id Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Cant Afford to Make Them All Yourself,"1879384493",8,23,2003,http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
24,Mary-Kate &amp  Ashley Switching Goals (Mary-Kate and Ashley Starring in),"61076031",8,24,2000,http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
25,Tell Me This Isnt Happening,"439095026",8,25,1999,http://images.amazon.com/images/P/0439095026.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
26,Flood : Mississippi 1927,"689821166",8,26,1998,http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
27,Wild Animus,"971880107",8,27,2004,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
28,Airframe,"345402871",8,28,1997,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
29,Timeline,"345417623",8,28,2000,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
30,OUT OF THE SILENT PLANET,"684823802",8,10,1996,http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
31,Prague : A Novel,"375759778",1,29,2003,http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
32,Chocolate Jesus,"425163091",8,7,1998,http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
33,Wie Barney es sieht.,"3404921038",8,30,2002,http://images.amazon.com/images/P/3404921038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3404921038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
34,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,"3442353866",8,31,2001,http://images.amazon.com/images/P/3442353866.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
35,Sturmzeit. Roman.,"3442410665",8,31,1991,http://images.amazon.com/images/P/3442410665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
36,Tage der Unschuld.,"3442446937",8,31,2000,http://images.amazon.com/images/P/3442446937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442446937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
37,Lying Awake,"375406328",8,32,2000,http://images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
38,To Kill a Mockingbird,"446310786",8,33,1988,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
39,Seabiscuit: An American Legend,"449005615",8,28,2002,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
40,Pigs in Heaven,"60168013",8,34,1993,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
41,Miss Zukas and the Ravens Dance,"038078243X",8,35,1996,http://images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
42,Pride and Prejudice,"055321215X",8,36,1983,http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
43,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,"067176537X",8,37,1979,http://images.amazon.com/images/P/067176537X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
44,Downtown,"61099686",8,38,1995,http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
45,Icebound,"553582909",8,39,2000,http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
46,Ill Be Seeing You,"671888587",8,40,1994,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
47,From the Corner of His Eye,"553582747",8,39,2001,http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
48,Isle of Dogs,"425182908",8,7,2002,http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
49,Purity in Death,"042518630X",8,7,2002,http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
50,This Year It Will Be Different: And Other Stories,"440223571",1,19,1997,http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
51,Proxies,"812523873",8,41,1999,http://images.amazon.com/images/P/0812523873.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
52,Left Behind: A Novel of the Earths Last Days (Left Behind #1),"842342702",1,42,2000,http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
53,The Street Lawyer,"440225701",8,19,1999,http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
54,Love Medicine and Miracles,"60914068",8,43,1988,http://images.amazon.com/images/P/0060914068.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
55,All the Kings Men,"156047624",8,44,1982,http://images.amazon.com/images/P/0156047624.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
56,Pacific Northwest,"245542957",8,45,1985,http://images.amazon.com/images/P/0245542957.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
57,A Soldier of the Great War,"380715899",4,46,1992,http://images.amazon.com/images/P/0380715899.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380715899.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
58,Getting Well Again,"553280333",8,36,1992,http://images.amazon.com/images/P/0553280333.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
59,Northwest Wines and Wineries,"961769947",8,47,1993,http://images.amazon.com/images/P/0961769947.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
60,An Atmosphere of Eternity: Stories of India,"964778319",1,48,2002,http://images.amazon.com/images/P/0964778319.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
61,LONESOME DOVE,"671623249",8,40,1986,http://images.amazon.com/images/P/0671623249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
62,Shabanu: Daughter of the Wind (Border Trilogy),"679810307",8,49,1991,http://images.amazon.com/images/P/0679810307.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
63,Haveli (Laurel Leaf Books),"679865691",8,49,1995,http://images.amazon.com/images/P/0679865691.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679865691.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
64,Lieux dits,"2070423204",8,50,2002,http://images.amazon.com/images/P/2070423204.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
65,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,"345260317",8,28,1978,http://images.amazon.com/images/P/0345260317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345260317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
66,The yawning heights,"394743741",8,9,1980,http://images.amazon.com/images/P/0394743741.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394743741.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
67,Breathing Lessons,"042511774X",8,7,1994,http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
68,The Joy Luck Club,"804106304",8,51,1994,http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
69,Heart of Darkness (Wordsworth Collection),"1853262404",8,52,1998,http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
70,The Angel Is Near,"312970242",8,53,2000,http://images.amazon.com/images/P/0312970242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312970242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
71,Tess of the DUrbervilles (Wordsworth Classics),"1853260053",8,52,1997,http://images.amazon.com/images/P/1853260053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853260053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
72,The Adventures of Drew and Ellie: The Magical Dress,"1414035004",8,54,2003,http://images.amazon.com/images/P/1414035004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1414035004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
73,The Accidental Virgin,"60938412",8,55,2003,http://images.amazon.com/images/P/0060938412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060938412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
74,The Tao of Pooh,"140067477",8,56,1983,http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
75,Seabiscuit,"345465083",8,28,2003,http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
76,The Prince,"451625889",8,57,1952,http://images.amazon.com/images/P/0451625889.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451625889.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451625889.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
77,Lifes Little Instruction Book (Lifes Little Instruction Books (Paperback)),"1558531025",8,58,1991,http://images.amazon.com/images/P/1558531025.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558531025.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
78,Starship Troopers,"441783589",8,59,1987,http://images.amazon.com/images/P/0441783589.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441783589.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
79,The Ruby in the Smoke (Sally Lockhart Trilogy Book 1),"394895894",8,49,1988,http://images.amazon.com/images/P/0394895894.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394895894.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
80,Black Beauty (Illustrated Classics),"1569871213",8,60,1995,http://images.amazon.com/images/P/1569871213.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1569871213.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
