"id","name","website","created_at"
99,Penguin Books Ltd,"",2026-05-25 22:10:05.866 +0530
100,Roc,"",2026-05-25 22:10:05.866 +0530
101,Tor Fantasy,"",2026-05-25 22:10:05.866 +0530
102,Harpercollins Publisher,"",2026-05-25 22:10:05.866 +0530
103,Mariner Books,"",2026-05-25 22:10:05.866 +0530
104,Picador (UK),"",2026-05-25 22:10:05.866 +0530
105,Dover Publications,"",2026-05-25 22:10:05.866 +0530
106,Simon Pulse,"",2026-05-25 22:10:05.866 +0530
107,Nelson Books,"",2026-05-25 22:10:05.866 +0530
108,Regal Books,"",2026-05-25 22:10:05.866 +0530
109,Del Rey Books,"",2026-05-25 22:10:05.866 +0530
110,Spectra,"",2026-05-25 22:10:05.866 +0530
111,"Philipp Reclam, Jun Verlag GmbH","",2026-05-25 22:10:05.866 +0530
112,Diogenes,"",2026-05-25 22:10:05.866 +0530
113,Diogenes Verlag,"",2026-05-25 22:10:05.866 +0530
114,Distribooks Inc,"",2026-05-25 22:10:05.866 +0530
115,Deutscher Taschenbuch Verlag (DTV),"",2026-05-25 22:10:05.866 +0530
116,Dtv,"",2026-05-25 22:10:05.866 +0530
117,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.","",2026-05-25 22:10:05.866 +0530
118,Heyne,"",2026-05-25 22:10:05.866 +0530
119,Kiepenheuer &amp; Witsch,"",2026-05-25 22:10:05.866 +0530
120,Piper,"",2026-05-25 22:10:05.866 +0530
121,"Rowohlt, Reinbek","",2026-05-25 22:10:05.866 +0530
122,Rowohlt Tb.,"",2026-05-25 22:10:05.866 +0530
123,Suhrkamp,"",2026-05-25 22:10:05.866 +0530
124,Ullstein Tb,"",2026-05-25 22:10:05.866 +0530
125,"Bertelsmann, MÃ?Â¼nchen","",2026-05-25 22:10:05.866 +0530
126,"Fischer (Tb.), Frankfurt","",2026-05-25 22:10:05.866 +0530
127,St Martins Pr,"",2026-05-25 22:10:05.866 +0530
128,Bantam Dell Pub Group,"",2026-05-25 22:10:05.866 +0530
129,Doubleday,"",2026-05-25 22:10:05.866 +0530
130,Delacorte Books for Young Readers,"",2026-05-25 22:10:05.866 +0530
131,Island,"",2026-05-25 22:10:05.866 +0530
132,Warner Vision,"",2026-05-25 22:10:05.866 +0530
133,Plume Books,"",2026-05-25 22:10:05.866 +0530
134,Jove Books,"",2026-05-25 22:10:05.866 +0530
135,Atria,"",2026-05-25 22:10:05.866 +0530
136,University of Nebraska Press,"",2026-05-25 22:10:05.866 +0530
137,Ivy Books,"",2026-05-25 22:10:05.866 +0530
138,Regan Books,"",2026-05-25 22:10:05.866 +0530
139,Harcourt,"",2026-05-25 22:10:05.866 +0530
140,Vintage Books USA,"",2026-05-25 22:10:05.866 +0530
141,Dutton Books,"",2026-05-25 22:10:05.866 +0530
142,Delta Systems,"",2026-05-25 22:10:05.866 +0530
143,HarperCollins,"",2026-05-25 22:10:05.866 +0530
144,HarperFestival,"",2026-05-25 22:10:05.866 +0530
145,HarperPrism,"",2026-05-25 22:10:05.866 +0530
146,HarperTempest,"",2026-05-25 22:10:05.866 +0530
147,St. Martin's Griffin,"",2026-05-25 22:10:05.866 +0530
148,Orb Books,"",2026-05-25 22:10:05.866 +0530
149,Harlequin,"",2026-05-25 22:10:05.866 +0530
150,Modern Library,"",2026-05-25 22:10:05.866 +0530
151,Knopf Books for Young Readers,"",2026-05-25 22:10:05.866 +0530
152,William Morrow,"",2026-05-25 22:10:05.866 +0530
153,Wendy Lamb Books,"",2026-05-25 22:10:05.866 +0530
154,Random House Inc,"",2026-05-25 22:10:05.866 +0530
155,Push,"",2026-05-25 22:10:05.866 +0530
156,Signet Classics,"",2026-05-25 22:10:05.866 +0530
157,Signet,"",2026-05-25 22:10:05.866 +0530
158,Faber Faber Inc,"",2026-05-25 22:10:05.866 +0530
159,Viking Juvenile,"",2026-05-25 22:10:05.866 +0530
160,Simon &amp; Schuster,"",2026-05-25 22:10:05.866 +0530
161,Touchstone,"",2026-05-25 22:10:05.866 +0530
162,Egmont Childrens Books,"",2026-05-25 22:10:05.866 +0530
163,Dreamhaven Books,"",2026-05-25 22:10:05.866 +0530
164,DC Comics,"",2026-05-25 22:10:05.866 +0530
165,Dark Horse Comics,"",2026-05-25 22:10:05.866 +0530
166,Alpha Books,"",2026-05-25 22:10:05.866 +0530
167,Farrar Straus &amp; Giroux,"",2026-05-25 22:10:05.866 +0530
168,Dell Publishing Company,"",2026-05-25 22:10:05.866 +0530
169,Riverhead Books,"",2026-05-25 22:10:05.866 +0530
170,University of California Press,"",2026-05-25 22:10:05.866 +0530
171,Spectra Books,"",2026-05-25 22:10:05.866 +0530
172,Viking Books,"",2026-05-25 22:10:05.866 +0530
173,Hackett Pub Co Inc,"",2026-05-25 22:10:05.866 +0530
174,W W Norton &amp; Co,"",2026-05-25 22:10:05.866 +0530
175,Washington Square Press,"",2026-05-25 22:10:05.866 +0530
176,Scholastic Paperbacks (Mm),"",2026-05-25 22:10:05.866 +0530
177,Harpercollins Juvenile Books,"",2026-05-25 22:10:05.866 +0530
178,Starfire,"",2026-05-25 22:10:05.866 +0530
179,Last Knight Pub Co,"",2026-05-25 22:10:05.866 +0530
180,Del Rey,"",2026-05-25 22:10:05.866 +0530
181,Eos,"",2026-05-25 22:10:05.866 +0530
182,St. Martin's Paperbacks,"",2026-05-25 22:10:05.866 +0530
183,Columna,"",2026-05-25 22:10:05.866 +0530
184,Viking Children's Books,"",2026-05-25 22:10:05.866 +0530
185,Delacorte Press,"",2026-05-25 22:10:05.866 +0530
186,Reader's Digest,"",2026-05-25 22:10:05.866 +0530
187,"Editores Mexicanos Unidos, S.A.","",2026-05-25 22:10:05.866 +0530
188,Quill (HarperCollins),"",2026-05-25 22:10:05.866 +0530
189,Anagrama,"",2026-05-25 22:10:05.866 +0530
190,Douglas Gibson Books,"",2026-05-25 22:10:05.866 +0530
191,McClelland &amp; Stewart,"",2026-05-25 22:10:05.866 +0530
192,Arcade Publishing,"",2026-05-25 22:10:05.866 +0530
193,Fischer Taschenbuch Verlag GmbH,"",2026-05-25 22:10:05.866 +0530
194,Access Press (HarperCollins),"",2026-05-25 22:10:05.866 +0530
195,John Wiley &amp; Sons Inc,"",2026-05-25 22:10:05.866 +0530
196,Penguin USA (Paper),"",2026-05-25 22:10:05.866 +0530
197,Scribner Paper Fiction,"",2026-05-25 22:10:05.866 +0530
198,Pocket Books,"",2026-05-25 22:10:05.866 +0530
199,Readers Digest Assn,"",2026-05-25 22:10:05.866 +0530
200,Broadway Books,"",2026-05-25 22:10:05.866 +0530
201,F. H. Revell,"",2026-05-25 22:10:05.866 +0530
202,Baker Book House,"",2026-05-25 22:10:05.866 +0530
203,W Publishing Group,"",2026-05-25 22:10:05.866 +0530
204,NavPress,"",2026-05-25 22:10:05.866 +0530
205,Pub Group West,"",2026-05-25 22:10:05.866 +0530
206,YWAM Publishing,"",2026-05-25 22:10:05.866 +0530
207,F.J. Moody,"",2026-05-25 22:10:05.866 +0530
208,Emmaus Road Intl,"",2026-05-25 22:10:05.866 +0530
209,Puffin Books,"",2026-05-25 22:10:05.866 +0530
210,Castle Books,"",2026-05-25 22:10:05.866 +0530
211,Llewellyn Publications,"",2026-05-25 22:10:05.866 +0530
212,Harper Collins - UK,"",2026-05-25 22:10:05.866 +0530
213,Silhouette,"",2026-05-25 22:10:05.866 +0530
214,Penguin USA,"",2026-05-25 22:10:05.866 +0530
215,Fawcett,"",2026-05-25 22:10:05.866 +0530
216,University Press of America,"",2026-05-25 22:10:05.866 +0530
217,Globe Pequot Pr,"",2026-05-25 22:10:05.866 +0530
218,New York Review of Books,"",2026-05-25 22:10:05.866 +0530
219,Artisan Publishers,"",2026-05-25 22:10:05.866 +0530
220,Amber-Allen Publishing,"",2026-05-25 22:10:05.866 +0530
221,Plaza &amp; JanÃ©s,"",2026-05-25 22:10:05.866 +0530
222,Destino,"",2026-05-25 22:10:05.866 +0530
223,Lectorum Pubns (J),"",2026-05-25 22:10:05.866 +0530
224,Edicions 62,"",2026-05-25 22:10:05.866 +0530
225,"Editiones B, Grupo Zeta","",2026-05-25 22:10:05.866 +0530
226,Laia,"",2026-05-25 22:10:05.866 +0530
227,Editorial Laia,"",2026-05-25 22:10:05.866 +0530
228,Edicions de la Magrana,"",2026-05-25 22:10:05.866 +0530
229,Editorial EmpÃºries,"",2026-05-25 22:10:05.866 +0530
230,Area,"",2026-05-25 22:10:05.866 +0530
231,Ediciones Temas de Hoy,"",2026-05-25 22:10:05.866 +0530
232,Salamandra,"",2026-05-25 22:10:05.866 +0530
233,Hal Leonard Corp,"",2026-05-25 22:10:05.866 +0530
234,Ediciones B,"",2026-05-25 22:10:05.866 +0530
235,Dial Books,"",2026-05-25 22:10:05.866 +0530
236,Bantam Dell Publishing Group,"",2026-05-25 22:10:05.866 +0530
237,Jump at the Sun,"",2026-05-25 22:10:05.866 +0530
238,I Books,"",2026-05-25 22:10:05.866 +0530
239,Wizards of the Coast,"",2026-05-25 22:10:05.866 +0530
240,Cornell University Press,"",2026-05-25 22:10:05.866 +0530
241,Troll Communications Llc,"",2026-05-25 22:10:05.866 +0530
242,Price Stern Sloan,"",2026-05-25 22:10:05.866 +0530
243,Playmore Inc. Publishers,"",2026-05-25 22:10:05.866 +0530
244,National Geographic Society,"",2026-05-25 22:10:05.866 +0530
245,Kidsbooks.Com,"",2026-05-25 22:10:05.866 +0530
246,HarperTrophy,"",2026-05-25 22:10:05.866 +0530
247,Soho Press,"",2026-05-25 22:10:05.866 +0530
248,Nan A. Talese,"",2026-05-25 22:10:05.866 +0530
249,Owl Books,"",2026-05-25 22:10:05.866 +0530
250,Readers Digest,"",2026-05-25 22:10:05.866 +0530
251,Simon Schuster Trade,"",2026-05-25 22:10:05.866 +0530
252,Image,"",2026-05-25 22:10:05.866 +0530
253,Andrews McMeel Publishing,"",2026-05-25 22:10:05.866 +0530
254,Houghton Mifflin Company,"",2026-05-25 22:10:05.866 +0530
255,MacMillan Publishing Company.,"",2026-05-25 22:10:05.866 +0530
256,Picador USA,"",2026-05-25 22:10:05.866 +0530
257,Putnam Publishing Group,"",2026-05-25 22:10:05.866 +0530
258,Random House Value Publishing,"",2026-05-25 22:10:05.866 +0530
259,Villard Books,"",2026-05-25 22:10:05.866 +0530
260,Morehouse Group,"",2026-05-25 22:10:05.866 +0530
261,Ecco Press,"",2026-05-25 22:10:05.866 +0530
262,Cowley Publications,"",2026-05-25 22:10:05.866 +0530
263,White Pine Press (NY),"",2026-05-25 22:10:05.866 +0530
264,Fabbri - RCS Libri,"",2026-05-25 22:10:05.866 +0530
265,Edizioni E/O,"",2026-05-25 22:10:05.866 +0530
266,Puffin,"",2026-05-25 22:10:05.866 +0530
267,Harvard University Press,"",2026-05-25 22:10:05.866 +0530
268,Saunders College Publishing,"",2026-05-25 22:10:05.866 +0530
269,Houghton Mifflin,"",2026-05-25 22:10:05.866 +0530
270,Schocken Books,"",2026-05-25 22:10:05.866 +0530
271,Watson-Guptill Publications,"",2026-05-25 22:10:05.866 +0530
272,Random House Canada,"",2026-05-25 22:10:05.866 +0530
273,Thomas Dunne Books,"",2026-05-25 22:10:05.866 +0530
274,Little Brown &amp; Co,"",2026-05-25 22:10:05.866 +0530
275,Noble House,"",2026-05-25 22:10:05.866 +0530
276,Atria Books,"",2026-05-25 22:10:05.866 +0530
277,Winedale Publishing,"",2026-05-25 22:10:05.866 +0530
278,Pinnacle Books,"",2026-05-25 22:10:05.866 +0530
279,Grove Press,"",2026-05-25 22:10:05.866 +0530
280,Editech Pr,"",2026-05-25 22:10:05.866 +0530
281,WestBow Press,"",2026-05-25 22:10:05.866 +0530
282,Henry Holt &amp; Company,"",2026-05-25 22:10:05.866 +0530
283,Hyperion Books,"",2026-05-25 22:10:05.866 +0530
284,Thorndike Pr,"",2026-05-25 22:10:05.866 +0530
285,Zebra Books,"",2026-05-25 22:10:05.866 +0530
286,Golden Books Publishing Company,"",2026-05-25 22:10:05.866 +0530
287,Yearling,"",2026-05-25 22:10:05.866 +0530
288,Apple Signature (Scholastic),"",2026-05-25 22:10:05.866 +0530
289,"Scholastic, Inc.","",2026-05-25 22:10:05.866 +0530
290,Golden Books,"",2026-05-25 22:10:05.866 +0530
291,Crabtree Publishing Company,"",2026-05-25 22:10:05.866 +0530
292,Inner Ocean Publishing,"",2026-05-25 22:10:05.866 +0530
293,St. Martin's Minotaur,"",2026-05-25 22:10:05.866 +0530
294,Scholastic Inc,"",2026-05-25 22:10:05.866 +0530
295,Albert Whitman &amp; Company,"",2026-05-25 22:10:05.866 +0530
296,Broadway,"",2026-05-25 22:10:05.866 +0530
297,Childrens Press,"",2026-05-25 22:10:05.866 +0530
298,Putnam Pub Group (Paper),"",2026-05-25 22:10:05.866 +0530
299,Griffin Trade Paperback,"",2026-05-25 22:10:05.866 +0530
300,David R. Godine Publisher,"",2026-05-25 22:10:05.866 +0530
301,New Directions Publishing Corporation,"",2026-05-25 22:10:05.866 +0530
302,Jossey-Bass,"",2026-05-25 22:10:05.866 +0530
303,Feltrinelli,"",2026-05-25 22:10:05.866 +0530
304,HarperSanFrancisco,"",2026-05-25 22:10:05.866 +0530
305,Multnomah,"",2026-05-25 22:10:05.866 +0530
306,Beacon Press,"",2026-05-25 22:10:05.866 +0530
307,Harper Mass Market Paperbacks,"",2026-05-25 22:10:05.866 +0530
308,MacAdam/Cage Publishing,"",2026-05-25 22:10:05.866 +0530
309,LGF,"",2026-05-25 22:10:05.866 +0530
310,Gallimard French,"",2026-05-25 22:10:05.866 +0530
311,Livre De Poche French,"",2026-05-25 22:10:05.866 +0530
312,Presses Pocket French,"",2026-05-25 22:10:05.866 +0530
313,Livre de Poche,"",2026-05-25 22:10:05.866 +0530
314,J'ai lu,"",2026-05-25 22:10:05.866 +0530
315,Rowohlt,"",2026-05-25 22:10:05.866 +0530
316,Lamuv,"",2026-05-25 22:10:05.866 +0530
317,O. W. Barth Bei Scherz,"",2026-05-25 22:10:05.866 +0530
318,Palgrave-Macmillan,"",2026-05-25 22:10:05.866 +0530
319,Aufbau Taschenbuch Verlag,"",2026-05-25 22:10:05.866 +0530
320,btb,"",2026-05-25 22:10:05.866 +0530
321,Crown,"",2026-05-25 22:10:05.866 +0530
322,William Morrow &amp; Company,"",2026-05-25 22:10:05.866 +0530
323,Everyman's Library,"",2026-05-25 22:10:05.866 +0530
324,Harmony,"",2026-05-25 22:10:05.866 +0530
325,Sourcebooks Landmark,"",2026-05-25 22:10:05.866 +0530
326,Little Brown and Company,"",2026-05-25 22:10:05.866 +0530
327,Michael Joseph Ltd,"",2026-05-25 22:10:05.866 +0530
328,Seuil,"",2026-05-25 22:10:05.866 +0530
329,Bloomsbury Pub Ltd,"",2026-05-25 22:10:05.866 +0530
330,Penguin Putnam~trade,"",2026-05-25 22:10:05.866 +0530
331,Lomond Books,"",2026-05-25 22:10:05.866 +0530
332,Faber Children's Books,"",2026-05-25 22:10:05.866 +0530
333,Abacus,"",2026-05-25 22:10:05.866 +0530
334,Michael O'Mara Books,"",2026-05-25 22:10:05.866 +0530
335,Trafalgar Square Books,"",2026-05-25 22:10:05.866 +0530
336,Dargaud,"",2026-05-25 22:10:05.866 +0530
337,Southwater Publishing,"",2026-05-25 22:10:05.866 +0530
338,Brockhampton Press,"",2026-05-25 22:10:05.866 +0530
339,Union gÃ©nÃ©rale d'Ã©ditions,"",2026-05-25 22:10:05.866 +0530
340,Canongate Books Ltd,"",2026-05-25 22:10:05.866 +0530
341,Celestial Arts,"",2026-05-25 22:10:05.866 +0530
342,Routledge,"",2026-05-25 22:10:05.866 +0530
343,Bloomsbury Publishing PLC,"",2026-05-25 22:10:05.866 +0530
344,Firebrand Books,"",2026-05-25 22:10:05.866 +0530
345,Windstorm Creative,"",2026-05-25 22:10:05.866 +0530
346,Akashic Books,"",2026-05-25 22:10:05.866 +0530
347,New Amer Library,"",2026-05-25 22:10:05.866 +0530
348,Alyson Books,"",2026-05-25 22:10:05.866 +0530
349,Rising Tide Press (AZ),"",2026-05-25 22:10:05.866 +0530
350,Alyson Publications,"",2026-05-25 22:10:05.866 +0530
351,Press Gang Publishers,"",2026-05-25 22:10:05.866 +0530
352,Crimeline,"",2026-05-25 22:10:05.866 +0530
353,Stonewall Inn Editions,"",2026-05-25 22:10:05.866 +0530
354,Random House Children's Books,"",2026-05-25 22:10:05.866 +0530
355,Miramax,"",2026-05-25 22:10:05.866 +0530
356,Random House Childrens Books,"",2026-05-25 22:10:05.866 +0530
357,Laurel-Leaf Books,"",2026-05-25 22:10:05.866 +0530
358,Del Sol Press,"",2026-05-25 22:10:05.866 +0530
359,Wings,"",2026-05-25 22:10:05.866 +0530
360,Manning Publications,"",2026-05-25 22:10:05.866 +0530
361,Ferguson Publishing Company,"",2026-05-25 22:10:05.866 +0530
362,Einaudi,"",2026-05-25 22:10:05.866 +0530
363,Ohio University Press,"",2026-05-25 22:10:05.866 +0530
364,Hyperion Books for Children,"",2026-05-25 22:10:05.866 +0530
365,Magic Carpet Books,"",2026-05-25 22:10:05.866 +0530
366,Pleasant Company Publications,"",2026-05-25 22:10:05.866 +0530
367,Scholastic Paperbacks,"",2026-05-25 22:10:05.866 +0530
368,John F. Blair Publisher,"",2026-05-25 22:10:05.866 +0530
369,Monarch Books,"",2026-05-25 22:10:05.866 +0530
370,Flammarion,"",2026-05-25 22:10:05.866 +0530
371,Phoenix Books,"",2026-05-25 22:10:05.866 +0530
372,Hyperion Press,"",2026-05-25 22:10:05.866 +0530
373,Cambridge University Press,"",2026-05-25 22:10:05.866 +0530
374,Amereon Limited,"",2026-05-25 22:10:05.866 +0530
375,Hill &amp; Wang,"",2026-05-25 22:10:05.866 +0530
376,Red Dress Ink,"",2026-05-25 22:10:05.866 +0530
377,Anchor Pub,"",2026-05-25 22:10:05.866 +0530
378,Four Walls Eight Windows,"",2026-05-25 22:10:05.866 +0530
379,Steeple Hill,"",2026-05-25 22:10:05.866 +0530
380,Ten Speed Pr,"",2026-05-25 22:10:05.866 +0530
381,Reston Pub. Co,"",2026-05-25 22:10:05.866 +0530
382,Word Publishing,"",2026-05-25 22:10:05.866 +0530
383,G. P. Putnam's Sons,"",2026-05-25 22:10:05.866 +0530
384,W. Morrow,"",2026-05-25 22:10:05.866 +0530
385,Teamcom Books,"",2026-05-25 22:10:05.866 +0530
386,Gulf Publishing Company,"",2026-05-25 22:10:05.866 +0530
387,Dearborn Financial Publishing,"",2026-05-25 22:10:05.866 +0530
388,Main Street Books,"",2026-05-25 22:10:05.866 +0530
389,"Random House, Inc.","",2026-05-25 22:10:05.866 +0530
390,Adams Media Corp,"",2026-05-25 22:10:05.866 +0530
391,Mysterious Press,"",2026-05-25 22:10:05.866 +0530
392,Mira,"",2026-05-25 22:10:05.866 +0530
393,Harpercollins Library,"",2026-05-25 22:10:05.866 +0530
394,Sagebrush Bound,"",2026-05-25 22:10:05.866 +0530
395,W W Norton &amp; Co Inc,"",2026-05-25 22:10:05.866 +0530
396,Picador,"",2026-05-25 22:10:05.866 +0530
397,New English Library,"",2026-05-25 22:10:05.866 +0530
398,Pearson Education,"",2026-05-25 22:10:05.866 +0530
399,Diamond Books (NY),"",2026-05-25 22:10:05.866 +0530
400,Yearling Books,"",2026-05-25 22:10:05.866 +0530
401,Forge Books,"",2026-05-25 22:10:05.866 +0530
402,Pantheon Books,"",2026-05-25 22:10:05.866 +0530
403,Infinity Publishing.com,"",2026-05-25 22:10:05.866 +0530
404,Buy Books on the web.com,"",2026-05-25 22:10:05.866 +0530
405,Infinity Publishing (PA),"",2026-05-25 22:10:05.866 +0530
406,Pantheon,"",2026-05-25 22:10:05.866 +0530
407,Epicenter Press,"",2026-05-25 22:10:05.866 +0530
408,Bantam Classics,"",2026-05-25 22:10:05.866 +0530
409,Ravensburger Buchverlag Otto Maier GmbH,"",2026-05-25 22:10:05.866 +0530
410,Black Sparrow Books,"",2026-05-25 22:10:05.866 +0530
411,Pages Publishing Group,"",2026-05-25 22:10:05.866 +0530
412,Point Fantasy,"",2026-05-25 22:10:05.866 +0530
413,AuthorsOmniscient Publishers,"",2026-05-25 22:10:05.866 +0530
414,Random House Books for Young Readers,"",2026-05-25 22:10:05.866 +0530
415,Chatto &amp; Windus,"",2026-05-25 22:10:05.866 +0530
416,Hackett Publishing Company,"",2026-05-25 22:10:05.866 +0530
417,Workman Pub. Co,"",2026-05-25 22:10:05.866 +0530
418,Barnes Noble Books,"",2026-05-25 22:10:05.866 +0530
419,Houghton Mifflin Co,"",2026-05-25 22:10:05.866 +0530
420,Natl Book Network,"",2026-05-25 22:10:05.866 +0530
421,Harry N Abrams,"",2026-05-25 22:10:05.866 +0530
422,Quest Books,"",2026-05-25 22:10:05.866 +0530
423,The Lyons Press,"",2026-05-25 22:10:05.866 +0530
424,Sterling Publishing,"",2026-05-25 22:10:05.866 +0530
425,Shambhala,"",2026-05-25 22:10:05.866 +0530
426,Hanser,"",2026-05-25 22:10:05.866 +0530
427,Penguin Putnam~mass,"",2026-05-25 22:10:05.866 +0530
428,Candlewick Press (MA),"",2026-05-25 22:10:05.866 +0530
429,Girl Press,"",2026-05-25 22:10:05.866 +0530
430,Atheneum,"",2026-05-25 22:10:05.866 +0530
431,MTV,"",2026-05-25 22:10:05.866 +0530
432,Baldini&amp;Castoldi,"",2026-05-25 22:10:05.866 +0530
433,Aufbau Tb,"",2026-05-25 22:10:05.866 +0530
434,Deutscher Taschenbuch Verlag,"",2026-05-25 22:10:05.866 +0530
435,Taschen Verlag,"",2026-05-25 22:10:05.866 +0530
